seed,method,step,validation_loss,validation_accuracy,training_seconds,parameter_count,batchnorm_affine_parameter_count,peak_cuda_allocated_bytes,name,test_loss,test_accuracy,test_evaluation_seconds,test_evaluations,training_examples,validation_examples,test_examples,frozen_config_sha256,source_sha256,checkpoint,input_standardization
2001,dfa,500,1.672144088745117,0.3855,1.1887107496149838,3679754,3072,96159232,dfa,1.6821155040740967,0.3933,0.02676467294804752,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",dfa_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,ndfa,500,1.5832164154052735,0.4345,2.020594973815605,3679754,3072,119490048,ndfa,1.5629359748840332,0.4484,0.0259378959890455,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",ndfa_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,centered_total,500,1.5258574981689452,0.4535,2.030775757972151,3679754,3072,122177024,centered_total,1.525854568862915,0.4587,0.02551575913093984,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",centered_total_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,paired,500,1.7061127319335938,0.3795,1.9951097562443465,3679754,3072,120555008,paired,1.7134366046905518,0.3861,0.026573292911052704,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",paired_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,wrong_pairs,500,1.5518911743164063,0.444,1.9464983772486448,3679754,3072,121341440,wrong_pairs,1.5565206104278564,0.4497,0.026358373928815126,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",wrong_pairs_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,diagonal,500,1.6892841644287109,0.385,1.4591163862496614,3679754,3072,111363584,diagonal,1.6863566675186157,0.392,0.025447899010032415,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",diagonal_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,view_regularized,500,1.5859691162109375,0.4315,2.1073197640944272,3679754,3072,122111488,view_regularized,1.5690772092819214,0.4429,0.026021435856819153,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",view_regularized_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2001,wrong_view_regularized,500,1.5641594543457031,0.4435,2.1418910091742873,3679754,3072,124208640,wrong_view_regularized,1.5581036960601806,0.454,0.026085515972226858,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",wrong_view_regularized_s2001/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2002,bp,500,1.5187954864501954,0.4545,1.201442112447694,3679754,3072,96421376,bp,1.5506164165496825,0.4471,0.026598263066262007,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",bp_s2002/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
2002,dfa,500,1.5769339447021484,0.438,1.1858977337833494,3679754,3072,96159232,dfa,1.589217308807373,0.4359,0.026666712015867233,1,10000,2000,10000,b3cb79ef0bd3c94a6f253a21c3af95519dbe0db620e3328aedf4d73b021f5495,"{'experiments/confirm_ndfa_paired_views.py': '7b3d7c4fd2f8724b8e385064fb2c62df1dc643d130f09cdc031040ffe5886c84', 'experiments/run_ndfa_paired_views.py': '515f53ba7c1c75bb33c25d2c347b65970a8b14300739a0b3a489701aa9d2609b', 'infogeo/dfa.py': '1c5b74c7939d073608c32c9c5c98577c40258ca11dc1a321390a4a51d56ba25e', 'infogeo/local_preconditioning.py': '9b7f918ee9f1ca1cf5206211f4f6486e589ed1f0a6d5c1be19eaada7bd53dcc6', 'infogeo/paired_conditioning.py': '0ca562775475ef901794bb428451bc61b25cbdca12504787007f44b91b09670d'}",dfa_s2002/checkpoint.pt,"{'mean': [0.4930330216884613, 0.48345819115638733, 0.44767969846725464], 'std': [0.2482229471206665, 0.24440619349479675, 0.2622743248939514], 'source': 'selected training pool only'}"
