method,replicate,mean_ce,accuracy_pct,median_ce,p90_ce,p99_ce,max_ce,max_abs_logit,top1pct_loss_share,top10pct_loss_share
bp,0,1.238160722041672,56.46,0.9205693026815691,2.762579152557203,5.431534390098542,14.71273847011155,20.142227172851562,0.0550226613188811,0.317925800755614
dfa,0,1.6333302582732543,43.82,1.3788901904192334,3.2811991979261825,5.657906120893538,12.831897978961996,28.333839416503906,0.04329949380253378,0.2687530011675757
bp_activity,0,1.1649061844953206,59.309999999999995,0.7552614634286947,2.8369525595313787,5.696579184356599,14.747578426440842,24.181602478027344,0.06083749895148248,0.35133132918882104
dfa_activity,0,724.4820579801146,43.45,79.99604797363281,2292.91092529297,6740.591920318606,22583.009765625,26171.505859375,0.12887304910451058,0.5743888135330646
dfa_error,0,187947470370530.9,29.080000000000002,81944041750528.0,538441427189760.25,1175878226673664.2,1743726590296064.0,1147796723859456.0,0.07093357321535834,0.43223960478576146
dfa_kronecker,0,46.449462235545084,47.57,3.0365140068455343,151.08525112588643,404.1384828186036,732.58349609375,664.3707275390625,0.10299696990961717,0.5833996566220772
bp_batchnorm,0,1.138590941541258,59.64,0.7768793839975929,2.7310226773365454,5.369740626120341,11.358296252510572,17.262962341308594,0.05598025792950027,0.33903347594520783
dfa_batchnorm,0,1.2090837077332135,56.910000000000004,0.9073538757658652,2.7411738810687387,4.925535703364588,11.54950502505842,14.478069305419922,0.04897003095487697,0.30677132614425223
bp_decorrelation,0,1.176064385862673,58.120000000000005,0.8589553702176838,2.684226591350492,5.021270605243197,10.936447974834586,15.944396018981934,0.05157783405584296,0.31691563023406377
dfa_decorrelation,0,1.19399754976797,58.08,0.926264667604703,2.621820341312942,4.634584173620368,8.801300309393412,14.360936164855957,0.045261839180291884,0.2914250136502438
bp,1,1.2221758760755297,57.379999999999995,0.9323607624071084,2.7116046991190657,5.317354340527778,10.821204737433657,19.83769416809082,0.05220226911558045,0.31286886918684115
dfa,1,1.616838866680647,43.22,1.3755862803681658,3.2591091199234032,5.603896166125623,11.386050728027417,16.84971809387207,0.041980470686073704,0.2667433931248814
bp_activity,1,1.125763895218285,61.19,0.7422431027726959,2.717994022327139,5.63779393862273,14.191970094109662,24.153987884521484,0.06093785093493477,0.35400369247218305
dfa_activity,1,468.41316186339463,42.95,76.44390869140625,1491.343591308594,3741.440795593262,9546.81689453125,8975.466796875,0.10364924407818538,0.5236888217087005
dfa_error,1,58125113554645.81,32.05,25241506021376.0,165449339345305.62,372976631750328.5,649313155809280.0,565736984543232.0,0.0771378319599082,0.4490469590069224
dfa_kronecker,1,18.115733449645397,50.41,0.5606596910649273,56.14977296637357,140.79185115816585,344.8174514770508,377.9559631347656,0.10301930379542353,0.519286767034036
bp_batchnorm,1,1.1171838074029583,60.31999999999999,0.7750429666322252,2.648267745570601,5.01545638231929,12.608020894930156,19.668895721435547,0.05417209144688834,0.3311639018721287
dfa_batchnorm,1,1.1930790214650755,57.16,0.9017527076507261,2.642610082809788,4.774879253480563,12.057196418777071,13.266519546508789,0.04826440959473697,0.3029110904512371
bp_decorrelation,1,1.1700110015983949,58.81999999999999,0.8548235600026688,2.680455791927758,5.0944325332357225,10.389556053970878,15.446818351745605,0.05085905079825737,0.3161300733231214
dfa_decorrelation,1,1.1852436327073819,58.53,0.9423356367013804,2.555183809252531,4.320844080429944,9.693840054005339,15.431117057800293,0.043008084821413335,0.28301846679855086
bp,2,1.2303015591491422,56.95,0.9398448966280941,2.726334690156951,5.312654600688558,12.05128154284333,19.62289810180664,0.05460500555007894,0.31256981790287186
dfa,2,1.6455542746934464,42.79,1.3850040178082952,3.3622287876469708,5.97523408745403,12.629313737840425,15.774215698242188,0.04382383310039412,0.27069814328574765
bp_activity,2,1.1469853843808286,59.96,0.7587838273344909,2.7462223924140217,5.738465964647008,14.12512579210443,24.981287002563477,0.06305394109297345,0.35235947764696374
dfa_activity,2,998.3042838599224,38.76,120.50645430664414,2814.4751220703124,11808.44952148438,33227.56640625,20771.076171875,0.14760035744903255,0.6504422999438946
dfa_error,2,131877916619728.48,30.680000000000003,33131721654272.0,376155937754316.94,1373635880031356.0,2306830625669120.0,1878327845453824.0,0.12540625633143065,0.5982252306392942
dfa_kronecker,2,26.654592018882802,50.449999999999996,0.4896775073111854,87.34114408493045,205.04272008895887,619.1899261474609,535.2926025390625,0.09778449087801441,0.5175155532085262
bp_batchnorm,2,1.1392202599084515,59.5,0.787654397984463,2.6743111357250964,5.270160584779671,10.883451122716451,19.103099822998047,0.054924060945794065,0.3306012069618919
dfa_batchnorm,2,1.204790009002073,56.92,0.9170757659048603,2.702883418688548,4.799392633595663,9.944111720259645,11.493111610412598,0.047542566502453996,0.3033977979163743
bp_decorrelation,2,1.1786556009783054,58.06,0.8324014505901829,2.754355238795634,5.145909241173387,11.343744328174866,15.855719566345215,0.05260566913703415,0.3231512042792531
