method,mean_ce,accuracy_pct,median_ce,p90_ce,p99_ce,max_ce,max_abs_logit,top1pct_loss_share,top10pct_loss_share
bp,1.2329801809535734,56.83200000000001,0.9337438303987146,2.7361480444598487,5.3489699721876525,11.936693681588133,20.195418930053712,0.054119137982178066,0.3145041373648712
bp_activity,1.1459875394331112,60.274,0.7482130561742194,2.7706347616465345,5.705029728669594,14.174224388095997,24.109070205688475,0.06159328637518141,0.3530620086209259
bp_batchnorm,1.1380363810024723,59.652,0.7814959167408965,2.7131657158773326,5.198741964674197,11.823094631900151,19.57885398864746,0.05474379098169015,0.33262483153044886
bp_decorrelation,1.178008364648776,58.346000000000004,0.8452167620816216,2.726944016299199,5.142040914105456,10.399448516082593,17.054255867004393,0.052187777195323706,0.32192249904427056
dfa,1.6341968176610266,43.482,1.378485696451555,3.320025888108711,5.784051189224007,12.097855390138031,20.34386291503906,0.0431264883149497,0.2700903084106172
dfa_activity,757.6071308323991,41.007999999999996,119.43800007838472,2263.8280415344243,7179.5163544616735,25264.10205078125,21727.740234375,0.12549539882755623,0.5637555532247049
dfa_batchnorm,1.202610671666835,57.152,0.9060640461255076,2.700705094460872,4.841363667970549,10.921134958375452,13.217161178588867,0.048447715525866096,0.3045499100068786
dfa_decorrelation,1.1904957645470546,58.33,0.9108363024850666,2.645663052365278,4.608539246621815,9.093063502813497,15.587202262878417,0.04538491341975566,0.2960841474720908
dfa_error,118215162852245.17,28.934000000000005,48063494435635.2,335832934420316.25,852035323226489.4,1430760077865779.2,1032258573670809.6,0.08304724872613797,0.46437687765147
dfa_kronecker,35.14015598039594,48.3,2.690305695833559,113.13294530373665,273.06674901199824,600.808689880371,585.4005920410157,0.09670011827803342,0.5234905591075588
