phase,bn,feedback_scale,method,n,accuracy_pct,accuracy_sd_pct,ce,work_seconds,width,budget
stability,False,0.1,dfa,5,24.552000000000003,4.925887737251022,33144553587.549206,9.313835375988855,,
stability,False,0.1,endfa,5,23.93,2.8298674880637074,320301888735.57404,18.12126538865268,,
stability,False,0.1,kndfa,5,38.775999999999996,4.805640435987694,12775006.143459158,21.77367068612948,,
stability,False,0.1,ndfa,5,36.712,4.531315482285468,26883722.108410913,18.087178077362477,,
stability,False,1.0,dfa,5,24.8,3.5659010081604903,7.172773294633667e+17,9.092967330943793,,
stability,False,1.0,endfa,5,28.528000000000002,2.222446849758166,2.0325001321294752e+17,18.15166196683422,,
stability,False,1.0,kndfa,5,37.766,1.9073358382833379,19490962761668.773,21.787860618764533,,
stability,False,1.0,ndfa,5,38.226,4.769562873052415,4851453806652.122,18.05447301734239,,
stability,True,0.1,dfa,5,51.231999999999985,0.6833886156499838,1.362251301235855,11.020136078912765,,
stability,True,0.1,endfa,5,49.33,1.3654120257270321,1.4240544931055799,20.985818936070427,,
stability,True,0.1,kndfa,5,56.199999999999996,0.6901086870921134,1.237761406766611,24.56964440178126,,
stability,True,0.1,ndfa,5,55.720000000000006,0.43823509672320804,1.2412223243677274,20.9502308386378,,
stability,True,1.0,dfa,5,46.507999999999996,2.370742499724506,1.5504639733170438,10.991291191941126,,
stability,True,1.0,endfa,5,42.06,2.5719156284761766,2.116939667035523,20.88302290523425,,
stability,True,1.0,kndfa,5,50.392,1.8742251732382649,1.5489717298531234,24.492182986764238,,
stability,True,1.0,ndfa,5,53.476,0.5380334562088142,1.3353745029008237,20.834427652321757,,
width,,,dfa,5,51.190000000000005,1.9666214684071766,1.3628181387075138,9.554400994828029,1024.0,
width,,,ediag,5,51.298,1.5692577863435961,1.3653348536913072,14.081586856924696,1024.0,
width,,,endfa,5,51.342,1.6194968354399455,1.3628490882792093,19.29982502661587,1024.0,
width,,,kndfa,5,55.576,0.9163132652101025,1.2533614387126433,22.92282245577953,1024.0,
width,,,ndfa,5,55.602,0.7284023613360942,1.252578958717843,19.313760425728105,1024.0,
width,,,dfa,5,47.212,3.1920166039668407,1.5571777483867244,9.55217453612131,2048.0,
width,,,ediag,5,47.576,3.4185274607643574,1.5272227262672593,14.549326513218693,2048.0,
width,,,endfa,5,47.324,2.800969475021105,1.548427554406462,20.053783408537857,2048.0,
width,,,kndfa,5,53.712,2.40519645767243,1.344029000521451,23.610718661801364,2048.0,
width,,,ndfa,5,53.508,2.242491917488219,1.3532325930441844,20.036937150180165,2048.0,
work,,,bp,5,65.824,0.40364588440859833,0.9728428858572922,60.000851766206324,,60.0
work,,,dfa,5,62.182,0.17340703561274776,1.0756058585608455,60.00068476223387,,60.0
work,,,fd_dfa,5,64.454,0.8053136035110804,1.0140489790884524,60.002398180495945,,60.0
work,,,ndfa,5,64.206,0.3861735361207463,1.028414762069241,60.002136224741115,,60.0
work,,,bp,5,67.536,0.18595698427324117,0.9279871035230748,120.00066139032133,,120.0
work,,,dfa,5,64.666,0.21149468078417435,1.0147006535433356,120.00040578022599,,120.0
work,,,fd_dfa,5,66.884,0.5152960314227164,0.9557732401772878,120.00157297560945,,120.0
work,,,ndfa,5,66.924,0.2965299310356409,0.9541079472745178,120.00162233263254,,120.0
