seed,method,test_acc,test_loss,validation_acc,grad_alignment,n_feedback_seeds
75,dfa,0.5931666666666667,1.9760629514694208,0.6036666666666667,0.0024711932037558,3
75,endfa,0.6051333333333333,1.890040357208252,0.6174,0.0060899007576279,3
75,kndfa,0.8056333333333333,1.5219863229115804,0.8306,0.0188668964994295,3
75,kndfa_bp,0.8026333333333332,1.590195979563395,0.8283333333333333,0.0194012863462326,3
75,ndfa,0.8028666666666666,1.5899263589859007,0.8283333333333333,0.0194133893281485,3
76,dfa,0.5962333333333333,1.9970529432296755,0.6047333333333333,-0.0060861914123709,3
76,endfa,0.6280333333333333,1.884343705304464,0.6393333333333333,0.0020501480486442,3
76,kndfa,0.8081333333333333,1.4710500979741414,0.8299333333333333,0.0239260848508477,3
76,kndfa_bp,0.8031,1.54932130317688,0.8265333333333333,0.0254087429729395,3
76,ndfa,0.8030666666666667,1.5490056472778315,0.8264,0.0254468733778869,3
77,dfa,0.6240333333333333,1.980688950220744,0.6382,0.0030041229647597,3
77,endfa,0.6450666666666667,1.8473238597869877,0.658,0.015608182494249,3
77,kndfa,0.8068333333333334,1.4826566889444983,0.8290666666666667,0.0219722503213261,3
77,kndfa_bp,0.8016333333333333,1.5749057148615515,0.8243999999999999,0.0203027214109423,3
77,ndfa,0.8016666666666667,1.5747466904322307,0.8245333333333335,0.0203121548659519,3
78,dfa,0.6252333333333334,1.926636870574951,0.6359333333333334,0.0136584751653975,3
78,endfa,0.6326333333333333,1.827107109451294,0.6429333333333332,0.0205490146463708,3
78,kndfa,0.8082666666666666,1.487682451883952,0.8313333333333333,0.0229832868356716,3
78,kndfa_bp,0.8029000000000001,1.5602629778544106,0.8267333333333333,0.0240618304955267,3
78,ndfa,0.8028666666666666,1.55971503683726,0.8267333333333333,0.0241125219636236,3
79,dfa,0.6281,1.9675965096791583,0.6355333333333334,0.0001546434500167,3
79,endfa,0.6328999999999999,1.8820904633839923,0.6429333333333332,0.0011151287618516,3
79,kndfa,0.8061666666666666,1.502588870938619,0.8268,0.0182010467550029,3
79,kndfa_bp,0.8015333333333334,1.569427528190613,0.8239333333333333,0.0183076668464934,3
79,ndfa,0.8014333333333333,1.5687354321797689,0.8238666666666666,0.0183314115355619,3
