study,cohort,method,n,seeds,accuracy_pct,accuracy_sem_pp,loss,loss_sem
dfa_stall_threefactor,original,dfa,5,50 51 52 53 54,74.39733333333332,0.7148048684781061,1.8443718920771281,0.01346008954916065
dfa_stall_threefactor,original,endfa,5,50 51 52 53 54,79.15866666666666,0.5676673517318223,1.6199303486506142,0.013000385361937582
dfa_stall_threefactor,original,kndfa,5,50 51 52 53 54,88.12333333333333,0.08508166012066933,1.2062910157521567,0.003604910599212938
dfa_stall_threefactor,original,ndfa,5,50 51 52 53 54,87.71933333333332,0.10626695943079605,1.272021712837219,0.006624382277673369
dfa_stall_threefactor,extension,dfa,5,55 56 57 58 59,74.01466666666667,1.0430210395235986,1.8603382553354901,0.01846653431590051
dfa_stall_threefactor,extension,endfa,5,55 56 57 58 59,78.22000000000001,0.4152576174965239,1.6376741843159994,0.011564116976737378
dfa_stall_threefactor,extension,kndfa,5,55 56 57 58 59,88.10066666666667,0.07912999150483763,1.2130704474258422,0.004746519919615847
dfa_stall_threefactor,extension,ndfa,5,55 56 57 58 59,87.72,0.1171703413364005,1.2759003320566815,0.0041048325158079746
dfa_stall_threefactor,pooled,dfa,10,50 51 52 53 54 55 56 57 58 59,74.20599999999999,0.59947071304816,1.852355073706309,0.011096070323156968
dfa_stall_threefactor,pooled,endfa,10,50 51 52 53 54 55 56 57 58 59,78.68933333333334,0.3666127233047002,1.6288022664833068,0.008718999484211606
dfa_stall_threefactor,pooled,kndfa,10,50 51 52 53 54 55 56 57 58 59,88.112,0.05490328196356244,1.2096807315889997,0.00302838125087386
dfa_stall_threefactor,pooled,ndfa,10,50 51 52 53 54 55 56 57 58 59,87.71966666666667,0.07456780823311925,1.2739610224469504,0.003730134088289444
dfa_stall_fashion_threefactor,original,dfa,5,70 71 72 73 74,61.97666666666667,0.16991174179555615,1.9379819036102297,0.011936955402308887
dfa_stall_fashion_threefactor,original,endfa,5,70 71 72 73 74,63.744,0.4060396806005796,1.8419107253901164,0.009979476211400856
dfa_stall_fashion_threefactor,original,kndfa,5,70 71 72 73 74,80.78666666666668,0.09074996173858715,1.4999676153818766,0.007058781998758339
dfa_stall_fashion_threefactor,original,kndfa_bp,5,70 71 72 73 74,80.28800000000001,0.10450199360139802,1.575507682088216,0.007247378681568029
dfa_stall_fashion_threefactor,original,ndfa,5,70 71 72 73 74,80.28600000000002,0.103566403818999,1.5752400944010416,0.0072338069107074476
dfa_stall_fashion_threefactor,extension,dfa,5,75 76 77 78 79,61.33533333333333,0.7659167346679694,1.96960764503479,0.011764868936567984
dfa_stall_fashion_threefactor,extension,endfa,5,75 76 77 78 79,62.87533333333333,0.6545215385641978,1.866181099026998,0.01231792286692605
dfa_stall_fashion_threefactor,extension,kndfa,5,75 76 77 78 79,80.70066666666665,0.052338640919813925,1.4931928865305584,0.00880064184092754
dfa_stall_fashion_threefactor,extension,kndfa_bp,5,75 76 77 78 79,80.23599999999999,0.03259856847572643,1.56882270072937,0.006883891659169052
dfa_stall_fashion_threefactor,extension,ndfa,5,75 76 77 78 79,80.238,0.034279893685818706,1.5684258331425984,0.006911379353187802
dfa_stall_fashion_threefactor,pooled,dfa,10,70 71 72 73 74 75 76 77 78 79,61.656,0.3849709945783794,1.95379477432251,0.009497677908637316
dfa_stall_fashion_threefactor,pooled,endfa,10,70 71 72 73 74 75 76 77 78 79,63.309666666666665,0.3908933895262344,1.8540459122085573,0.00849774543653504
dfa_stall_fashion_threefactor,pooled,kndfa,10,70 71 72 73 74 75 76 77 78 79,80.74366666666666,0.05142284163652545,1.4965802509562174,0.005436805005278379
dfa_stall_fashion_threefactor,pooled,kndfa_bp,10,70 71 72 73 74 75 76 77 78 79,80.26199999999999,0.05232660961761278,1.5721651914087929,0.004841913857149163
dfa_stall_fashion_threefactor,pooled,ndfa,10,70 71 72 73 74 75 76 77 78 79,80.26199999999999,0.0520450896629516,1.57183296377182,0.004851102888287009
dfa_relu_mnist_threefactor,original,dfa,8,100 101 102 103 104 105 106 107,87.08125,0.7903427369597819,187.33882419083915,95.50633231258733
dfa_relu_mnist_threefactor,original,endfa,8,100 101 102 103 104 105 106 107,94.6075,0.1604195268761716,1.2417709856033325,0.18695980375279236
dfa_relu_mnist_threefactor,original,kndfa,8,100 101 102 103 104 105 106 107,96.70625000000001,0.043799858211701216,0.11028919521321846,0.000911097188732214
dfa_relu_mnist_threefactor,original,ndfa,8,100 101 102 103 104 105 106 107,95.80625,0.03137356522995253,0.1385098323206106,0.0004767703291642015
dfa_relu_mnist_threefactor,extension,dfa,5,108 109 110 111 112,85.60933333333332,1.5760958797681741,95.42116292439778,21.919906362091698
dfa_relu_mnist_threefactor,extension,endfa,5,108 109 110 111 112,94.664,0.11868445559549716,1.3309267445119222,0.2587808709056167
dfa_relu_mnist_threefactor,extension,kndfa,5,108 109 110 111 112,96.72466666666666,0.028608468054834375,0.11034112829208367,0.001382718500661855
dfa_relu_mnist_threefactor,extension,ndfa,5,108 109 110 111 112,95.81066666666665,0.050281430192690664,0.13859105082035053,0.0016214543177505082
dfa_relu_mnist_threefactor,pooled,dfa,13,100 101 102 103 104 105 106 107 108 109 110 111 112,86.5151282051282,0.765136862362516,151.98587754990018,59.18289015309785
dfa_relu_mnist_threefactor,pooled,endfa,13,100 101 102 103 104 105 106 107 108 109 110 111 112,94.62923076923076,0.10538908635263956,1.2760616621066363,0.14591072730616836
dfa_relu_mnist_threefactor,pooled,kndfa,13,100 101 102 103 104 105 106 107 108 109 110 111 112,96.71333333333334,0.028289307172232506,0.11030916947432047,0.0007369897214698734
dfa_relu_mnist_threefactor,pooled,ndfa,13,100 101 102 103 104 105 106 107 108 109 110 111 112,95.8079487179487,0.026035638684323778,0.13854107020512596,0.0006471433076693606
