seed,method,test_acc,test_loss,validation_acc,validation_loss,n_feedback_seeds
108,dfa,0.8910666666666667,105.15138520507811,0.8829333333333333,105.40752318522136,3
108,endfa,0.9438,1.8209838047981264,0.9436,1.8470216095447545,3
108,kndfa,0.9677,0.1099052224278449,0.9675333333333334,0.1191039758205413,3
108,ndfa,0.9585,0.1366021938204764,0.9568,0.1403959241787592,3
109,dfa,0.8847999999999999,58.17953999226888,0.8786666666666667,62.47768842671712,3
109,endfa,0.9472333333333331,0.6510424365997315,0.9467333333333334,0.7087924075762432,3
109,kndfa,0.9679666666666668,0.1059818197766939,0.9675333333333334,0.1108364045302073,3
109,ndfa,0.9598,0.1331703231414158,0.9576666666666668,0.1395877488851547,3
110,dfa,0.8253333333333334,166.59296021321614,0.8212666666666667,165.31052022298178,3
110,endfa,0.9488333333333332,1.303667378505071,0.9442,1.481300782839457,3
110,kndfa,0.9669666666666666,0.1137258954763412,0.9641333333333332,0.1194826735138892,3
110,ndfa,0.9580333333333332,0.1403338950117428,0.955,0.1426143685897191,3
111,dfa,0.8664,41.11412402954102,0.8581333333333333,43.179021623738606,3
111,endfa,0.9494,0.8860055915355683,0.9448666666666666,0.9769472918669382,3
111,kndfa,0.9663333333333334,0.1092306846777597,0.9646666666666668,0.1189046413898467,3
111,ndfa,0.9570666666666666,0.1416973327755927,0.9538,0.1479552096764246,3
112,dfa,0.8128666666666667,106.06780518188476,0.8106,109.87052517903646,3
112,endfa,0.9439333333333334,1.992934511121114,0.9442,2.030759500408173,3
112,kndfa,0.9672666666666668,0.1128620191017786,0.9652,0.1162276593168575,3
112,ndfa,0.9571333333333332,0.141151509352525,0.9561333333333332,0.1426514213403065,3
