condition,seed,dfa_random,ndfa_random,delta
low_sample_noisy,0.0,0.6700159708658854,0.679473876953125,0.9457906087239584
low_sample_noisy,1.0,0.6230010986328125,0.6430460611979166,2.0044962565104165
low_sample_noisy,2.0,0.6725997924804688,0.6782582600911459,0.5658467610677084
low_sample_noisy,3.0,0.6884816487630209,0.6960881551106771,0.760650634765625
low_sample_noisy,4.0,0.6784108479817709,0.6849161783854166,0.6505330403645834
mixed_context,0.0,0.5102030436197916,0.48872121175130206,-2.1481831868489585
mixed_context,1.0,0.46861012776692706,0.4484761555989583,-2.013397216796875
mixed_context,2.0,0.5160929361979166,0.48322804768880206,-3.2864888509114585
mixed_context,3.0,0.5270360310872396,0.503509521484375,-2.3526509602864585
mixed_context,4.0,0.5139414469401041,0.48804982503255206,-2.5891621907552085
nuisance_dominant,0.0,0.4693450927734375,0.5064264933268229,3.7081400553385415
nuisance_dominant,1.0,0.41443634033203125,0.4560394287109375,4.160308837890625
nuisance_dominant,2.0,0.48092905680338544,0.5123748779296875,3.1445821126302085
nuisance_dominant,3.0,0.5118942260742188,0.5372365315755209,2.5342305501302085
nuisance_dominant,4.0,0.4920450846354167,0.5237986246744791,3.17535400390625
task_aligned,0.0,0.8865737915039062,0.8725382486979166,-1.4035542805989583
task_aligned,1.0,0.8629201253255209,0.8616765340169271,-0.124359130859375
task_aligned,2.0,0.8638839721679688,0.8592758178710938,-0.4608154296875
task_aligned,3.0,0.88079833984375,0.8653233846028646,-1.5474955240885417
task_aligned,4.0,0.8787256876627604,0.8653793334960938,-1.3346354166666667
