seed,method,test_acc,test_loss,validation_acc,validation_loss,n_feedback_seeds
100,dfa,0.8897333333333334,172.38336500244142,0.88,185.82981076253256,3
100,endfa,0.9517333333333332,0.7160932527065277,0.9475333333333332,0.8266004603068033,3
100,kndfa,0.9679666666666668,0.1073006086111068,0.9658,0.1120185810128847,3
100,ndfa,0.9589333333333334,0.1368572798927624,0.9567333333333332,0.1382193977236747,3
101,dfa,0.8734000000000001,46.92740895385742,0.8655333333333334,48.31539117889404,3
101,endfa,0.9430333333333332,2.164739755074183,0.9398666666666666,2.5030316450595858,3
101,kndfa,0.9674,0.1106241813341776,0.9664,0.115161345676581,3
101,ndfa,0.9587666666666668,0.1368782955050468,0.9577333333333332,0.137350709581375,3
102,dfa,0.8373333333333334,846.2994356669109,0.8318666666666666,822.3798862569173,3
102,endfa,0.9487666666666668,1.251162455622355,0.9450666666666666,1.3328189206441243,3
102,kndfa,0.9668333333333332,0.1094113535602887,0.9654666666666666,0.1146970262050628,3
102,ndfa,0.9564666666666668,0.1409386670192082,0.9566,0.1421153915127117,3
103,dfa,0.8985333333333333,58.07603665059408,0.8938,60.7598566019694,3
103,endfa,0.9459,1.3822148043314617,0.9419333333333334,1.4952507836341855,3
103,kndfa,0.9664666666666668,0.114700440386931,0.9638,0.1197309649268785,3
103,ndfa,0.9589,0.1381416213591893,0.9558,0.1445526495496431,3
104,dfa,0.8417666666666667,113.79597025349932,0.8346,119.77999726257325,3
104,endfa,0.9484,0.607513590224584,0.9465333333333332,0.6827950471401215,3
104,kndfa,0.9671666666666666,0.1098185337384541,0.9667333333333332,0.1148349582393963,3
104,ndfa,0.9583333333333334,0.1387381788372993,0.9567333333333332,0.1400713551123936,3
105,dfa,0.8900333333333333,33.18998542836507,0.8804,37.53654917551676,3
105,endfa,0.9367,1.2019280573844908,0.9318,1.3091450237592062,3
105,kndfa,0.9645333333333334,0.1123162178794543,0.9647333333333332,0.1192882731755574,3
105,ndfa,0.9571,0.1384703331271806,0.9566,0.1400465622504551,3
106,dfa,0.8704333333333333,112.8372531270345,0.8646666666666666,119.54058794555664,3
106,endfa,0.9465666666666668,0.8594609314600626,0.9411333333333332,0.9974352142016092,3
106,kndfa,0.9687666666666668,0.1068446645617484,0.9650666666666666,0.114076076821486,3
106,ndfa,0.9579666666666666,0.1396241247018178,0.9556,0.1423307433843612,3
107,dfa,0.8652666666666667,115.20113844401044,0.8532666666666667,127.26024509684244,3
107,endfa,0.9475,1.7510550380229948,0.9451333333333332,1.7730668261528015,3
107,kndfa,0.9673666666666666,0.1112975616335868,0.9654,0.1111354594548543,3
107,ndfa,0.9580333333333332,0.1384301581223805,0.9566,0.1377182202498117,3
