seed,method,test_acc,test_loss,validation_acc,grad_alignment,n_feedback_seeds
50,dfa,0.7499333333333333,1.8335892826716105,0.7387333333333332,0.0131630144456421,3
50,endfa,0.8046333333333333,1.5939429159800211,0.7964666666666668,0.0443535563202554,3
50,kndfa,0.8798333333333334,1.200323069636027,0.8750666666666667,0.0486015056374572,3
50,ndfa,0.8763666666666667,1.2579450879414875,0.8729999999999999,0.0453728083959852,3
51,dfa,0.7218333333333332,1.8928275393803915,0.7217333333333333,0.0032563617640513,3
51,endfa,0.7790333333333334,1.6539283277511598,0.7727333333333334,0.0253240719847235,3
51,kndfa,0.8815666666666667,1.2001154070536295,0.8747333333333334,0.0456508395713847,3
51,ndfa,0.8795666666666667,1.26413449789683,0.8733333333333334,0.0446418765434553,3
52,dfa,0.7357999999999999,1.8531719104766848,0.7247333333333333,0.0123375148654522,3
52,endfa,0.7781666666666668,1.6433619446436565,0.7726000000000001,0.0275555946322289,3
52,kndfa,0.8787666666666666,1.2195733088811238,0.8750666666666667,0.0453674330639534,3
52,ndfa,0.8734666666666667,1.2944184578577678,0.8681333333333333,0.0419280943721568,3
53,dfa,0.7643,1.82014718691508,0.7572000000000001,0.0094668164168078,3
53,endfa,0.7929,1.6201097066879273,0.7857333333333333,0.0291681348950084,3
53,kndfa,0.8828,1.2078530090332034,0.8748,0.0445182982325861,3
53,ndfa,0.8782333333333333,1.2642032410303752,0.8708666666666667,0.0429776152465391,3
54,dfa,0.7479999999999999,1.822123540941874,0.7432,0.0228263838680886,3
54,endfa,0.8032,1.5883088481903076,0.8016666666666666,0.0495334653603652,3
54,kndfa,0.8832,1.2035902841567994,0.8793333333333333,0.0477077705007593,3
54,ndfa,0.8783333333333333,1.2794072794596354,0.8730666666666668,0.0477317555690888,3
