condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,test_acc
task_aligned,dfa_random,0.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.822021484375
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,512.0,0.05,0.0,0.693603515625
task_aligned,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.81591796875
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.296875
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.2890625
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.271484375
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.55908203125
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.292724609375
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.273193359375
task_aligned,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.810791015625
task_aligned,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.814208984375
task_aligned,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.791748046875
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.595458984375
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.572265625
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.5869140625
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.281494140625
task_aligned,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.814453125
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.562744140625
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.36376953125
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.36962890625
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.40966796875
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.371826171875
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,512.0,0.05,0.0,0.760009765625
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,512.0,0.05,0.0,0.7421875
task_aligned,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.78515625
task_aligned,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.73193359375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,512.0,0.05,0.0,0.719970703125
task_aligned,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.86669921875
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,512.0,0.05,0.0,0.71923828125
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,512.0,0.05,0.0,0.7197265625
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.269775390625
task_aligned,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.863525390625
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,512.0,0.05,0.0,0.630859375
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,512.0,0.05,0.0,0.696044921875
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.270751953125
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.269287109375
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.26220703125
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.19921875
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.561279296875
task_aligned,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.845458984375
task_aligned,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.849609375
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.25927734375
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.632568359375
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.6455078125
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.586669921875
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.5859375
low_sample_noisy,dfa_random,1.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.55859375
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.30322265625
task_aligned,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.802001953125
task_aligned,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.745849609375
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.651611328125
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.3544921875
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.26806640625
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.272705078125
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,512.0,0.15,0.0,0.645263671875
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.359130859375
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.3662109375
task_aligned,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.75634765625
task_aligned,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.8173828125
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,512.0,0.15,0.0,0.64501953125
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,512.0,0.05,0.0,0.746337890625
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,512.0,0.05,0.0,0.706298828125
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,512.0,0.15,0.0,0.638916015625
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.05,0.2,0.391357421875
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,512.0,0.05,0.0,0.7177734375
task_aligned,dfa_random,4.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.87939453125
task_aligned,dfa_random,3.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.860595703125
task_aligned,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.880615234375
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.269287109375
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.258056640625
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.29736328125
task_aligned,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.839111328125
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.205322265625
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.272216796875
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.19384765625
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.61865234375
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.638427734375
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.625
task_aligned,dfa_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.830322265625
task_aligned,dfa_random,3.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.828857421875
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.622802734375
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.609619140625
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.05,0.2,0.44921875
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.2,0.465576171875
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.2,0.459228515625
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.05,0.2,0.399169921875
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.2,0.427490234375
task_aligned,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.05,0.4,0.788818359375
task_aligned,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.791259765625
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,512.0,0.15,0.0,0.595458984375
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,512.0,0.15,0.0,0.678466796875
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,512.0,0.15,0.0,0.64599609375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,512.0,0.15,0.0,0.677490234375
task_aligned,dfa_random,3.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.881103515625
low_sample_noisy,dfa_random,1.0,0.0,0.0,14.0,512.0,0.15,0.0,0.546630859375
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,512.0,0.15,0.0,0.58349609375
task_aligned,dfa_random,3.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.886962890625
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.2626953125
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.27294921875
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.26220703125
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,2048.0,0.05,0.0,0.81201171875
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.60546875
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.15,0.4,0.29052734375
task_aligned,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.8623046875
task_aligned,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.8759765625
low_sample_noisy,dfa_random,1.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.57958984375
low_sample_noisy,dfa_random,2.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.627685546875
low_sample_noisy,dfa_random,1.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.61328125
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.28125
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.62109375
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.599365234375
task_aligned,dfa_random,4.0,0.0,0.0,14.0,4096.0,0.15,0.4,0.7734375
task_aligned,dfa_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.80712890625
task_aligned,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.15,0.4,0.788818359375
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.2,0.395751953125
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,1024.0,0.05,0.2,0.27490234375
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.2,0.389892578125
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.2,0.385986328125
task_aligned,dfa_random,4.0,2.0,0.0,14.0,1024.0,0.05,0.4,0.779541015625
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.05,0.2,0.277099609375
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.2,0.37890625
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.2,0.2900390625
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,512.0,0.15,0.0,0.688720703125
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.0,0.676025390625
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,512.0,0.15,0.0,0.71728515625
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.0,0.6689453125
nuisance_dominant,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.2,0.400390625
task_aligned,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.05,0.4,0.861328125
task_aligned,dfa_random,2.0,1.0,0.0,14.0,4096.0,0.05,0.4,0.828857421875
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,512.0,0.15,0.0,0.69287109375
task_aligned,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.86767578125
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,2048.0,0.05,0.0,0.767333984375
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,2048.0,0.05,0.0,0.81982421875
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,2048.0,0.05,0.0,0.8310546875
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.15,0.2,0.72265625
task_aligned,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.834228515625
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,2048.0,0.05,0.0,0.817626953125
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,2048.0,0.05,0.0,0.7138671875
task_aligned,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.15,0.4,0.79736328125
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.15,0.2,0.740966796875
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,4096.0,0.15,0.2,0.736572265625
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,4096.0,0.15,0.2,0.74755859375
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,4096.0,0.05,0.4,0.611083984375
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,2048.0,0.05,0.0,0.8037109375
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,4096.0,0.15,0.2,0.74169921875
task_aligned,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.7880859375
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,1024.0,0.15,0.1,0.483642578125
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.15,0.1,0.458984375
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.2,0.376953125
