seed,method,test_acc,test_loss,validation_acc,grad_alignment,n_feedback_seeds
70,dfa,0.6260333333333333,1.9168148939768477,0.6412666666666667,0.0127346544081634,3
70,endfa,0.6361,1.8182707595189411,0.6519333333333334,0.0227234695120531,3
70,kndfa,0.8104999999999999,1.4858548098246256,0.8296,0.0236710672461034,3
70,kndfa_bp,0.8045333333333332,1.5720087770462037,0.8246666666666668,0.0245639571229956,3
70,ndfa,0.8043666666666667,1.5718034428278609,0.8247333333333334,0.0245877871635738,3
71,dfa,0.6165333333333334,1.925822461827596,0.6295333333333334,0.016485448097967,3
71,endfa,0.6292666666666666,1.8354104072570805,0.6420666666666667,0.0182217720420456,3
71,kndfa,0.8075,1.5099626844406129,0.8304,0.0205629797182042,3
71,kndfa_bp,0.8033333333333333,1.5843012786229451,0.8278666666666666,0.0208714082288077,3
71,ndfa,0.8033666666666667,1.5839284791946409,0.8278,0.0208954535661719,3
72,dfa,0.6205666666666666,1.9205679830551148,0.6300666666666667,0.0095413276391506,3
72,endfa,0.6294333333333334,1.8578979835510256,0.6414,0.009872398679429,3
72,kndfa,0.8053666666666667,1.5102183128992717,0.8291333333333334,0.0213518006471025,3
72,kndfa_bp,0.7989999999999999,1.5868534915288288,0.826,0.0214296539267466,3
72,ndfa,0.7989666666666667,1.5869379313151042,0.8260000000000001,0.0214395356153225,3
73,dfa,0.6177333333333334,1.945139642461141,0.6294666666666666,0.0137611508013259,3
73,endfa,0.6508666666666666,1.8262391582489013,0.6628,0.020233997660684,3
73,kndfa,0.8092333333333332,1.479966378084819,0.8294666666666667,0.0224147460550112,3
73,kndfa_bp,0.8048333333333333,1.5485629886627197,0.8289333333333334,0.0225449088832864,3
73,ndfa,0.8048000000000001,1.5483428055445352,0.8289333333333334,0.0225674454445908,3
74,dfa,0.6179666666666667,1.9815645367304484,0.6271333333333334,0.00183008995162,3
74,endfa,0.6415333333333333,1.871735318374634,0.6549333333333333,0.0062795434933233,3
74,kndfa,0.8067333333333334,1.5138358916600545,0.8284666666666668,0.0193372537225398,3
74,kndfa_bp,0.8027000000000001,1.585811874580383,0.823,0.0201056649952135,3
74,ndfa,0.8028,1.585187813123067,0.8231333333333334,0.0201516902853831,3
