seed,method,test_acc,test_loss,validation_acc,grad_alignment,n_feedback_seeds
70,dfa,0.6260333333333333,1.9168148939768477,0.6412666666666667,0.0127346544081634,3
70,endfa,0.6361,1.8182707595189411,0.6519333333333334,0.0227234695120531,3
70,kndfa,0.8104999999999999,1.4858548098246256,0.8296,0.0236710672461034,3
70,kndfa_bp,0.8045333333333332,1.5720087770462037,0.8246666666666668,0.0245639571229956,3
70,ndfa,0.8043666666666667,1.5718034428278609,0.8247333333333334,0.0245877871635738,3
71,dfa,0.6165333333333334,1.925822461827596,0.6295333333333334,0.016485448097967,3
71,endfa,0.6292666666666666,1.8354104072570805,0.6420666666666667,0.0182217720420456,3
71,kndfa,0.8075,1.5099626844406129,0.8304,0.0205629797182042,3
71,kndfa_bp,0.8033333333333333,1.5843012786229451,0.8278666666666666,0.0208714082288077,3
71,ndfa,0.8033666666666667,1.5839284791946409,0.8278,0.0208954535661719,3
72,dfa,0.6205666666666666,1.9205679830551148,0.6300666666666667,0.0095413276391506,3
72,endfa,0.6294333333333334,1.8578979835510256,0.6414,0.009872398679429,3
72,kndfa,0.8053666666666667,1.5102183128992717,0.8291333333333334,0.0213518006471025,3
72,kndfa_bp,0.7989999999999999,1.5868534915288288,0.826,0.0214296539267466,3
72,ndfa,0.7989666666666667,1.5869379313151042,0.8260000000000001,0.0214395356153225,3
73,dfa,0.6177333333333334,1.945139642461141,0.6294666666666666,0.0137611508013259,3
73,endfa,0.6508666666666666,1.8262391582489013,0.6628,0.020233997660684,3
73,kndfa,0.8092333333333332,1.479966378084819,0.8294666666666667,0.0224147460550112,3
73,kndfa_bp,0.8048333333333333,1.5485629886627197,0.8289333333333334,0.0225449088832864,3
73,ndfa,0.8048000000000001,1.5483428055445352,0.8289333333333334,0.0225674454445908,3
74,dfa,0.6179666666666667,1.9815645367304484,0.6271333333333334,0.00183008995162,3
74,endfa,0.6415333333333333,1.871735318374634,0.6549333333333333,0.0062795434933233,3
74,kndfa,0.8067333333333334,1.5138358916600545,0.8284666666666668,0.0193372537225398,3
74,kndfa_bp,0.8027000000000001,1.585811874580383,0.823,0.0201056649952135,3
74,ndfa,0.8028,1.585187813123067,0.8231333333333334,0.0201516902853831,3
75,dfa,0.5931666666666667,1.9760629514694208,0.6036666666666667,0.0024711932037558,3
75,endfa,0.6051333333333333,1.890040357208252,0.6174,0.0060899007576279,3
75,kndfa,0.8056333333333333,1.5219863229115804,0.8306,0.0188668964994295,3
75,kndfa_bp,0.8026333333333332,1.590195979563395,0.8283333333333333,0.0194012863462326,3
75,ndfa,0.8028666666666666,1.5899263589859007,0.8283333333333333,0.0194133893281485,3
76,dfa,0.5962333333333333,1.9970529432296755,0.6047333333333333,-0.0060861914123709,3
76,endfa,0.6280333333333333,1.884343705304464,0.6393333333333333,0.0020501480486442,3
76,kndfa,0.8081333333333333,1.4710500979741414,0.8299333333333333,0.0239260848508477,3
76,kndfa_bp,0.8031,1.54932130317688,0.8265333333333333,0.0254087429729395,3
76,ndfa,0.8030666666666667,1.5490056472778315,0.8264,0.0254468733778869,3
77,dfa,0.6240333333333333,1.980688950220744,0.6382,0.0030041229647597,3
77,endfa,0.6450666666666667,1.8473238597869877,0.658,0.015608182494249,3
77,kndfa,0.8068333333333334,1.4826566889444983,0.8290666666666667,0.0219722503213261,3
77,kndfa_bp,0.8016333333333333,1.5749057148615515,0.8243999999999999,0.0203027214109423,3
77,ndfa,0.8016666666666667,1.5747466904322307,0.8245333333333335,0.0203121548659519,3
78,dfa,0.6252333333333334,1.926636870574951,0.6359333333333334,0.0136584751653975,3
78,endfa,0.6326333333333333,1.827107109451294,0.6429333333333332,0.0205490146463708,3
78,kndfa,0.8082666666666666,1.487682451883952,0.8313333333333333,0.0229832868356716,3
78,kndfa_bp,0.8029000000000001,1.5602629778544106,0.8267333333333333,0.0240618304955267,3
78,ndfa,0.8028666666666666,1.55971503683726,0.8267333333333333,0.0241125219636236,3
79,dfa,0.6281,1.9675965096791583,0.6355333333333334,0.0001546434500167,3
79,endfa,0.6328999999999999,1.8820904633839923,0.6429333333333332,0.0011151287618516,3
79,kndfa,0.8061666666666666,1.502588870938619,0.8268,0.0182010467550029,3
79,kndfa_bp,0.8015333333333334,1.569427528190613,0.8239333333333333,0.0183076668464934,3
79,ndfa,0.8014333333333333,1.5687354321797689,0.8238666666666666,0.0183314115355619,3
