source_file,cell,condition,method,seed,feedback_seed,feedback_rank,damping,adaptive_lr,epoch,n_train,n_test,input_noise,train_label_noise,loss,train_eval_acc,test_acc,raw_param_cosine,method_param_cosine,method_hidden_projected_step,method_hidden_norm_ratio,factorization_log_corr_mean,factorization_rel_error_mean,gradsq_factor_log_corr_mean,adam_factor_log_corr_mean,adam_exact_log_corr_mean,adam_diagk_update_cosine_mean,adam_m_diagk_update_cosine_mean
results/infodfa_adam_diagk_approx_v1/shards/shard_18/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,0.0,1.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0003335583605803,1.0,0.974365234375,0.4942575991153717,-0.1573754251003265,-153.93201005066757,248.2621525447861,1.0000000596046448,0.1907642055302858,2.475106361998769e-05,-3.228414442446592e-07,-3.228414442446592e-07,0.8253528475761414,-0.2473189458250999
results/infodfa_adam_diagk_approx_v1/shards/shard_30/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,3.0,1.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0006540335016325,1.0,0.9658203125,0.5266575813293457,-0.0617878511548042,-37.79903274613768,139.01523040239329,1.0000000596046448,0.2871094364672899,6.253913966247637e-06,1.4201381581813166e-07,1.4201381581813166e-07,0.8368202745914459,-0.1023528128862381
results/infodfa_adam_diagk_approx_v1/shards/shard_24/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,2.0,0.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0006980461184866,1.0,0.97119140625,0.5065826773643494,-0.0950159430503845,-33.42664853595095,90.18717369405134,1.0000000596046448,0.4199854023754596,2.8579903244008165e-06,1.4609926957120933e-07,1.4609926957120933e-07,0.8399525582790375,-0.1844337508082389
results/infodfa_adam_diagk_approx_v1/shards/shard_20/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,1.0,0.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0003814681840594,1.0,0.963623046875,0.5403262972831726,0.1402585655450821,92.91160460870594,172.20981775387943,1.0000000596046448,0.1145334066823124,7.024826982160448e-05,-1.6925798007605408e-07,-1.6925798007605408e-07,0.8526231646537781,0.2386864200234413
results/infodfa_adam_diagk_approx_v1/shards/shard_28/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,3.0,0.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0006648423150181,1.0,0.968017578125,0.5259872078895569,-0.0780780017375946,-29.368099636918203,90.40739668644947,1.0000000596046448,0.2973055429756641,5.842791438226413e-06,2.9109877175415025e-08,2.9109877175415025e-08,0.8588282465934753,-0.1403579786419868
results/infodfa_adam_diagk_approx_v1/shards/shard_34/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,4.0,1.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0004751579253934,1.0,0.971435546875,0.5212940573692322,-0.108625441789627,-52.14984910708209,123.83871963615556,1.0000000596046448,0.2095013726502657,4.70642419259093e-06,-1.0405835482174552e-07,-1.0405835482174552e-07,0.8617078959941864,-0.1720796674489975
results/infodfa_adam_diagk_approx_v1/shards/shard_32/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,4.0,0.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.000401354918722,1.0,0.9736328125,0.5378565788269043,0.0331478230655193,21.02956728106316,160.53249920462125,1.0000000596046448,0.1890750415623188,1.990943729879291e-05,-1.964682105892735e-07,-1.964682105892735e-07,0.8502532243728638,0.0945689100772142
results/infodfa_adam_diagk_approx_v1/shards/shard_22/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,1.0,1.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0004366639768704,1.0,0.966552734375,0.4644314646720886,-0.1236805990338325,-122.251128374027,274.103713309266,1.0000000596046448,0.157807283103466,1.9782755998676294e-05,-3.452073205068018e-08,-3.452073205068018e-08,0.8496291637420654,-0.189556173980236
results/infodfa_adam_diagk_approx_v1/shards/shard_16/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,0.0,0.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0004268667835276,1.0,0.9765625,0.5565646886825562,-0.4296034574508667,-229.8585455161928,122.9265395042399,1.0000000596046448,0.2897348273545503,4.516308322877194e-06,-3.049128096677123e-07,-3.049128096677123e-07,0.8612072467803955,-0.5920625627040863
results/infodfa_adam_diagk_approx_v1/shards/shard_26/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,dfa_adam_hidden,2.0,1.0,0.0,,0.003,100.0,4096.0,4096.0,0.05,0.0,0.0007025939994491,1.0,0.973388671875,0.4894683957099914,0.0499107763171196,14.562002967072411,80.79309528802139,1.0000000596046448,0.392609030008316,3.058069580674782e-06,-3.0978164478057124e-07,-3.0978164478057124e-07,0.8508245050907135,0.0940824225544929
