seed,method,test_acc,test_loss,validation_acc,grad_alignment,n_feedback_seeds
55,dfa,0.7721,1.817148115793864,0.7668,0.0136397289440766,3
55,endfa,0.7968000000000001,1.5986418725967406,0.789,0.0398489190837804,3
55,kndfa,0.8806666666666666,1.2180665892918905,0.8759333333333333,0.0452304458241782,3
55,ndfa,0.8768666666666668,1.2778334323883056,0.8704000000000001,0.041798483244003,3
56,dfa,0.7410333333333333,1.835313808377584,0.7388,0.0111783883195754,3
56,endfa,0.7728333333333334,1.6309483966827394,0.7698,0.0293224681644666,3
56,kndfa,0.8831000000000001,1.2082592990239462,0.8771333333333334,0.0429634858038287,3
56,ndfa,0.8802,1.2684878861109417,0.8734666666666667,0.0404195653814124,3
57,dfa,0.7438333333333333,1.8938388615926105,0.7433333333333333,0.0104594747906842,3
57,endfa,0.7850666666666667,1.6513899127324425,0.7784,0.0249699549875806,3
57,kndfa,0.8824333333333333,1.1994168738683066,0.8746,0.0460744791234769,3
57,ndfa,0.8793333333333333,1.2693709089279177,0.8708,0.0429488506309479,3
58,dfa,0.7372666666666667,1.841613214874268,0.735,0.0189021901472668,3
58,endfa,0.7769333333333334,1.6679140279134117,0.7722666666666665,0.0331006491742897,3
58,kndfa,0.8801,1.2118876973470052,0.8770666666666668,0.0468622379691415,3
58,ndfa,0.8737333333333334,1.272861123720805,0.8704000000000001,0.0464848053125779,3
59,dfa,0.7065,1.913777276039124,0.6955333333333332,-0.0004267620817419,3
59,endfa,0.7793666666666667,1.6394767116546631,0.7759333333333333,0.026162338311218,3
59,kndfa,0.8787333333333334,1.2277217775980631,0.8735333333333334,0.0415225026426545,3
59,ndfa,0.8758666666666667,1.290948309135437,0.868,0.0386375036215066,3
