phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
width,False,confirm_w1024_ediag_s63003,1024,ediag,30.0,63003,complete,0.5025,1.359130623521985,14.158714294433594,0.04104238888118038,14.065680862899171,0.51,1.378403939130146,13.847114562988281,0.04471094656812044,,,
width,False,confirm_w1024_kndfa_s63003,1024,kndfa,3000.0,63003,complete,0.571,1.226337479033078,16.6387996673584,0.04845417020410282,22.92785104567156,0.5575,1.253315956032541,17.89386558532715,0.05156262534298501,,,
width,False,confirm_w1024_dfa_s63004,1024,dfa,,63004,complete,0.508,1.3470390081845518,11.88674545288086,0.0409816966690526,9.566174306921312,0.5141,1.3594442178895014,13.01806354522705,0.04488364934273131,,,
width,False,confirm_w1024_ndfa_s63004,1024,ndfa,,63004,complete,0.551,1.2440085346465954,14.062310218811035,0.047919981234738895,19.29146021710767,0.5537,1.2490901491530566,16.13417625427246,0.05006750741811247,,,
width,False,confirm_w1024_endfa_s63004,1024,endfa,3000.0,63004,complete,0.5065,1.3356818121638634,12.752906799316406,0.039551905241482124,19.32061127192719,0.513,1.3603460321943444,13.680795669555664,0.04509898656612664,,,
width,False,confirm_w1024_ediag_s63004,1024,ediag,30.0,63004,complete,0.511,1.3330098607271998,12.034600257873535,0.039575615582967946,14.063766507235414,0.5155,1.3526678616259298,12.784154891967773,0.04501838078743251,,,
width,False,confirm_w1024_kndfa_s63004,1024,kndfa,3000.0,63004,complete,0.545,1.250536645032476,13.603185653686523,0.0488510234249842,22.863797870006238,0.554,1.2502118586804742,16.626428604125977,0.05042704112290056,,,
width,False,confirm_w2048_dfa_s63000,2048,dfa,,63000,complete,0.483,1.5312046166574846,12.793155670166016,0.04341736725086247,9.540807189674524,0.4814,1.5247535968521497,14.776373863220215,0.047978141325875565,,,
width,False,confirm_w2048_ndfa_s63000,2048,ndfa,,63000,complete,0.555,1.2786376351456339,14.539106369018555,0.05113667207492879,20.03809455386363,0.5532,1.2769227869544786,18.45207977294922,0.05463923645976621,,,
width,False,confirm_w2048_endfa_s63000,2048,endfa,3000.0,63000,complete,0.484,1.5391334289036405,12.100064277648926,0.04452487281110137,20.112473564280663,0.4817,1.5233335258477876,14.030058860778809,0.0473349454392448,,,
width,False,confirm_w2048_ediag_s63000,2048,ediag,3.0,63000,complete,0.49,1.4923256912868086,12.373056411743164,0.04286662666864725,14.547991950210417,0.4864,1.4873783340696134,14.41800308227539,0.047402474622782284,,,
width,False,confirm_w2048_kndfa_s63000,2048,kndfa,3000.0,63000,complete,0.55,1.2886993454058222,13.474699974060059,0.050190968263915475,23.639975174992287,0.5562,1.2779313911608297,18.01723861694336,0.05482425881603049,,,
width,False,confirm_w2048_dfa_s63001,2048,dfa,,63001,complete,0.504,1.4159161836652443,12.18958854675293,0.04508941408250114,9.54403038018063,0.504,1.4360597421335983,13.384005546569824,0.04683627518934715,,,
width,False,confirm_w2048_ndfa_s63001,2048,ndfa,,63001,complete,0.551,1.2970878755100863,14.01148796081543,0.05445288037789872,20.045764564965793,0.5487,1.3234180355538279,17.95302391052246,0.05492582352185939,,,
width,False,confirm_w2048_endfa_s63001,2048,endfa,3000.0,63001,complete,0.5105,1.42382912963721,13.414654731750488,0.04636603654911345,20.05819025485107,0.5056,1.4359350641218502,13.194690704345703,0.047303191335259245,,,
width,False,confirm_w2048_ediag_s63001,2048,ediag,3.0,63001,complete,0.525,1.3840790041708693,12.696308135986328,0.04671955930371612,14.566516211845737,0.5172,1.3956807545014165,12.563565254211426,0.04717938734200042,,,
