condition,input_noise,n_train,train_label_noise,nuisance_energy_ratio,gain
low_sample_noisy,0.05,512.0,0.0,27.551020408163268,51.365559895833336
low_sample_noisy,0.05,512.0,0.1,27.551020408163268,44.42708333333334
low_sample_noisy,0.05,512.0,0.2,27.551020408163268,38.798828125000014
low_sample_noisy,0.05,512.0,0.4,27.551020408163268,25.039062499999996
low_sample_noisy,0.05,1024.0,0.0,27.551020408163268,43.81510416666667
low_sample_noisy,0.05,1024.0,0.1,27.551020408163268,46.45182291666667
low_sample_noisy,0.05,1024.0,0.2,27.551020408163268,44.215494791666664
low_sample_noisy,0.05,1024.0,0.4,27.551020408163268,33.90787760416667
low_sample_noisy,0.05,2048.0,0.0,27.551020408163268,12.263997395833337
low_sample_noisy,0.05,2048.0,0.1,27.551020408163268,24.182942708333332
low_sample_noisy,0.05,2048.0,0.2,27.551020408163268,30.794270833333336
low_sample_noisy,0.05,2048.0,0.4,27.551020408163268,35.29296875
low_sample_noisy,0.05,4096.0,0.0,27.551020408163268,2.042643229166663
low_sample_noisy,0.05,4096.0,0.1,27.551020408163268,15.144856770833337
low_sample_noisy,0.05,4096.0,0.2,27.551020408163268,25.016276041666668
low_sample_noisy,0.05,4096.0,0.4,27.551020408163268,33.388671875
low_sample_noisy,0.15,512.0,0.0,27.551020408163268,47.508138020833336
low_sample_noisy,0.15,512.0,0.1,27.551020408163268,41.72037760416667
low_sample_noisy,0.15,512.0,0.2,27.551020408163268,36.58691406250001
low_sample_noisy,0.15,512.0,0.4,27.551020408163268,23.50260416666666
low_sample_noisy,0.15,1024.0,0.0,27.551020408163268,41.26464843750001
low_sample_noisy,0.15,1024.0,0.1,27.551020408163268,42.08333333333333
low_sample_noisy,0.15,1024.0,0.2,27.551020408163268,40.36132812500001
low_sample_noisy,0.15,1024.0,0.4,27.551020408163268,31.650390625000004
low_sample_noisy,0.15,2048.0,0.0,27.551020408163268,12.737630208333329
low_sample_noisy,0.15,2048.0,0.1,27.551020408163268,22.27213541666667
low_sample_noisy,0.15,2048.0,0.2,27.551020408163268,29.191080729166664
low_sample_noisy,0.15,2048.0,0.4,27.551020408163268,32.166341145833336
low_sample_noisy,0.15,4096.0,0.0,27.551020408163268,2.561848958333335
low_sample_noisy,0.15,4096.0,0.1,27.551020408163268,12.815755208333336
low_sample_noisy,0.15,4096.0,0.2,27.551020408163268,21.225585937500004
low_sample_noisy,0.15,4096.0,0.4,27.551020408163268,30.44921875
mixed_context,0.05,512.0,0.0,15.359999999999998,22.30631510416667
mixed_context,0.05,512.0,0.1,15.359999999999998,20.73079427083334
mixed_context,0.05,512.0,0.2,15.359999999999998,18.77278645833334
mixed_context,0.05,512.0,0.4,15.359999999999998,14.060872395833341
mixed_context,0.05,1024.0,0.0,15.359999999999998,26.228841145833336
