rule,seed,task_high,steps,selected_learning_rate,initial_loss
dfa,0,False,710,0.017673944233581942,1.0186679243476506
dfa,1,False,1016,0.017673944233581942,1.6746925809165207
dfa,2,False,1959,0.017673944233581942,1.29331836154356
dfa,0,True,82,0.017673944233581942,17.107237489138758
dfa,1,True,67,0.017673944233581942,28.340811063392767
dfa,2,True,151,0.017673944233581942,21.983787746772155
activity,0,False,23,0.7616541796661821,1.0186679243476506
activity,1,False,27,0.7616541796661821,1.6746925809165207
activity,2,False,30,1.2191604718389941,1.29331836154356
activity,0,True,23,0.7616541796661821,17.107237489138758
activity,1,True,27,0.7616541796661821,28.340811063392767
activity,2,True,30,1.2191604718389941,21.983787746772155
